,salary,education,description,title,skills,experience,employment_type
389,,High School,"Job Description
Housekeeping and Laundry AideFull and Part time positions.    Pflugerville Healthcare, a skilled nursing facility located in Pflugerville TX, is seeking a Housekeeping/ Laundry Aide that has a passion for providing the highest quality of care with compassion and integrity! Essentials Duties the Housekeeping /Laundry Aide include but are not limited to:Ensures a clean homelike environment within the guidelines of State and Federal RegulationsMaintains quality control and infection control and keep equipment in good repairHigh school diploma or Equivalent1 year related experience, preferred.Ability to read, write, speak and understand the English languageAbility to provide and follow oral and written instructionsAbility to frequently bend, squat and liftMust be able to lift 20 to 30 pounds without difficulty",Housekeeping Laundry Aide/ Pflugerville,"Instructions, Quality Management, Infection Control, English Language",,FULL_TIME
390,,Associate's Degree,"Job Description
Overview:Mercy Medical Center, a Dignity Health member, has been building a rich history of care in our community for more than 100 years. We have grown from a small one-story wooden structure into a major healthcare provider with a new 186-bed main campus, offering the latest in facility design and technology. Mercy also operates Outpatient Centers, a Cancer Center and several rural clinics. Wherever you work throughout our system, you will find faces of experience with dedication to high quality, personalized care. Joining our 1,300 employees, 230 physicians and many volunteers, you can help carry out our commitment to providing our community with the excellence they have come to associate with Mercy Medical Center. #RN-DHResponsibilities15k Sign On Bonus for Eligible/Qualified/Experienced External Candidates (Min 2yrs ED RN Experience)Position Summary:Consistent with scope of licensure, parameters of the California Nurse Practice Act, and Mercy Medical Center (MMC) policy and procedure, renders direct and indirect nursing care to assigned patient populations. Assesses patients for nursing needs, establishes and implements a problem oriented plan of nursing care, and evaluates the effectiveness of care provided. Provides immediate direction to other members of the nursing care team to assure the appropriate provision of nursing services. Patient age populations served, and the specific competencies that comprise this job title may vary among nursing units. These specifics are found in the ""Department/ Unit Orientation & Initial Assessment of Competency"" checklists for this unit/position, and by reference- form a part of this job description. # [ Link Removed ] QualificationsMinimum Requirements:Most possess and maintain a current Registered Nurse (RN) license with the state of California. Must possess and maintain a current Basic Life Support (BLS) certificate.Must possess and maintain a current Advanced Critical Life Support (ACLS) certificate at the time of employment and or transfer. New Nurse Graduates must obtain one within 6 months of employment. Must possess and maintain a current Pediatrics Advance Life Support (PALS) or Emergency Nurse Pediatrics Certified (ENPC) certificate at the time of employment. New Nurse Graduates must obtain one within 6 months of employment and or transfer.Preferred:Current MICN or TNCC certification.BilingualPrevious acute or emergency experience a plusCertification for Emergency Nurse (CEN) Certificate.",RN Emergency Services,"Basic Life Support, Pediatric Advanced Life Support, Certified Emergency Nurse (CEN), Registered Nurse Certified, Advanced Cardiovascular Life Support (ACLS), Mobile Intensive Care Nurse, Nursing, Life Support, Emergency Handling",No experience required.,FULL_TIME
391,,High School,"Job Description
CNC Supervisor 3rd shift, Bloomingdale, NJ Responsibilities:  Ensure proper staffing of CNC machine operators to deliver on production demands. Oversee and implement a quality, safe, clean, and productive work environment. Track CNC Digital Mobile radios. Maintain a detailed list of machine operators by shift and qualifications. Interviewing and training of CNC operators Assist in differing areas as needed by Production Manager. Creation of work processes for CNC machine operators and training programs for effective CNC machine operation methods. Interaction with HR, Management, and other departments within the company to ensure timely workflow.   Qualifications:  High School Degree At least 5 years of supervising experience Able to train in CNC and other machines Advanced knowledge of Measuring equipment Proficient in Microsoft Office and production software Strong math skills   Physical Requirements:  Ability to lift up to 50+ pounds. Regular walking, reaching, and handling of tools.",CNC Supervisor-3rd Shift,"Microsoft Office, Computer Numerical Control (CNC), Workflows, Management, Hardworking And Dedicated, Production Management, Human Resources, Mathematics, Training",At least 5 years experience.,FULL_TIME
392,,4 Year Degree,"Job Description
Job ID: 17713Position Description: AMETEK Fluid Analysis Business (FAB) is a worldwide manufacturer of Fluid Analysis Equipment and instrumentation of the two brands, Spectro Scientific, located north of Boston, USA and Grabner Instruments, located in Vienna, Austria. A business unit of the Process and Analytical Instruments division of AMETEK Inc., we are part of a global corporation with a growth plan founded on four key strategies: Operational Excellence, Strategic Acquisitions, Global & Market Expansion and New Products.We are looking for a Regional Sales Manager for our Northwest territory. The ideal candidate will need to be located near one of the major airports in Washington State, Idaho, Oregon, Montana, or Wyoming. The Regional Sales Manager will develop sales strategies and objectives for Northwestern US and Western Canada in accordance with overall business goals and objectives to achieve market share growth and maximize sales revenue and profitability.ESSENTIAL DUTIES AND RESPONSIBILITIES • Assure that channel-partners/distributors develop and optimize their focus to support the FAB’s strategic business objectives and that factory assistance is provided to assure they have our complete support in doing so. • Conduct business reviews with channel to ensure that FAB’s group is represented effectively to all end users in the markets serviced. • Work with product managers and FAB North American Sales Director to target customers, introduce new products and manage existing portfolio of products to grow entire product lines.• Provide regular status on each channel partner’s performance to plan along with updated revisions to sales and marketing strategies, territorial expansion, and other actions required to achieve and exceed projected targets.• Update all Identified Business Opportunities via our CRM system (SalesForce) so all team members can be kept aware of the progress of potential sales and ongoing projects. • Maintain and report on, a weekly report format, each opportunity funnel/forecast for the general business and specific larger project business.• Train and educate local salespeople on products and provide the necessary objection handling and selling strategy assistance specific to an industry, market, or account.• Attend local and industry trade shows when deemed appropriate to assist the growth of territory business.• Provide input to Product Marketing, Engineering and Operations teams to help direct the development of new products that reflect market trends and customer needs.• Monitor and analyze historical sales to determine order frequency, product trends, and perceived product life cycles.• Understand competitors’ products and report back this information to manager in a timely fashion.• Schedule appointments with existing customers to review product requirements and to determine other opportunities.• Design and conduct professional demonstrations or presentations of company products or services while on-site.• Liaise between the company and the customers for up-to-date condition on pricing, service, product information and sales status.• Generate and develop new business to increase revenue, through cold calling.• Work with Application Engineering/Specialist to continuously update all customers on company product modifications, changes, and enhancements in a timely fashion.• Enhance knowledge on new products, procedures, services, and tools by attending departmental and training meetings.• Use marketing data to maximize sales effectiveness and efficiency by using relevant sales management tools.• Maintain expense reports and adhere to company culture of cost consciousness in travel expenses.• Perform updating and maintenance of accounts of customer including contact names and numbers for Salesforce.• Ensure follow-up after passing leads to managers with complete profile; customer information, calls-to-action, sources and dates.• Maintain professionalism, diplomacy, sensitivity, and tact to portray the company in a positive manner.• Meet all annual sales objectives.

Job Requirements
Position Requirements:• Bachelor’s degree or commensurate industry training.• Minimum of 5 years of sales experience including, direct B2B sales, sales channel, distributor.• Fluids Analysis industry experience preferred in: Equipment Reliability and Petroleum Refining. • Following certifications preferred: CRE (from ASQ) / CMRP (from SMRP / MLT / MLA (From ICML) and/or CLS (from STLE).• Strong interpersonal skills, an outbound personality, and a focus on customer service.• Excellent written and verbal communication skills.• Proficiency in MS PowerPoint, Excel, Word, and database applications.• Ability to preserve confidential or sensitive information.• Effective time management, organizational, and multi-tasking skills.• Ability to maintain and communicate status on activity and sales forecasts.• Willingness and ability to travel at least 50% of time. We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal,  state or local protected class.",Regional Sales Manager - Northwest,"Sales, Business To Business, Selling Techniques, Product Marketing, Cold Calling, Scheduling, Sales Management, Distributors, Marketing, Regional Sales, Market Share, Marketing Strategies, Interpersonal Skills, Engineering, Professional Attitude, Forecasting, Verbal Communication, Training, Time Management, Certified Reliability Engineer, Demonstration Skills, Reports, Diplomacy, (American Society For Quality) ASQ Certified, Sales Effectiveness, Customer Service, Operations, Presentations, Refining, Business Strategies, Combat Life Saver, Market Trend, Salesforce.Com, Customer Relationship Management, Revenues, Maintenance, Reliability",At least 5 years experience.,FULL_TIME
393,,Bachelor's Degree,"Job Description
Konecranes IncEqual Opportunity Employer Minorities/Women/Protected Veterans/Disabled/Other Protected CategoryCountry:  United StatesLocation:  Springfield, OH, USEmployment type:  Fixed TermCountry: United States (US)  Location: Springfield, Ohio (US-OH)  Location details: At Konecranes, we believe that great customer experience is built on the people behind the Konecranes name - people committed to providing our customers with lifting equipment and services that lift their businesses. Everything we do, we do with passion and drive. We believe diversity drives business success and is the foundation for our growth. We welcome different backgrounds and skills that enrich our community and we promote a place where we can ALL be ourselves. This is what makes Konecranes a unique place to work.POSITION TITLE: Staff AccountantREPORTS TO: ControllerPRINCIPAL RESPONSIBILITIES:  Assist in all aspects of Month End Closing process  Financial Report Data Entry Report Preparation and Distribution Preparation of Graphical Analysis Account Reconciliations   Work closely with Management to assist in analysis of their service business Prepare, Analyze and Distribute Ad-Hoc Analysis reports to include:  Multi-Dimensional Cost Analysis Bi-Monthly Open Orders Analysis Quarterly Customer Profitability Analysis Forecast Accuracy Analysis Daily Invoicing Reports Weekly Rush Reports Invoice Ready Service Request Reports    Standard Contract Review Assist and/or Conduct Internal Audits Become proficient with Hyperion, SmartView, Siebel and SAP  EDUCATION: Bachelor's degree in Accounting or Finance. EXPERIENCE: Strong computer skills required (MS Office). OTHER REQUIREMENTS: Excellent administration and organizational skills and the ability to multitask and prioritize. Very good interpersonal skills, open minded, eager to learn and self-motivated.*KC #monus #cbus #nxtKonecranes, Inc. and its affiliates will not accept resumes from external recruiters or agencies without a Service Agreement and Agency Portal submission. Any resumes sent without a Service Agreement and Agency Portal submission with Konecranes, Inc. are void of any fees and free for internal use. Applicable Konecranes data protection obligations are the responsibility of the agency.Konecranes is a world-leading group of Lifting Businesses™, serving a broad range of customers. We are truly a global company with 16,900 employees at 600 locations in 50 countries. For over 80 years, we have been dedicated to improving the efficiency and performance of businesses in all types of industries. We believe that sustainable growth is a result of a strong responsible performance. . PI135131207","Staff Accountant - Springfield, OH","Reports, Administration, Business Intelligence, Graphical User Interface, Interpersonal Skills, Positive Attitude, Accounting, Distribution (Business), Computer Literacy, Customer Profitability, Coordinating, Auditing, Financial Statements, Profitability Analysis, Forecasting, Analysis, Siebel CRM, Multitasking, Curiosity, Oracle Hyperion, Management, Self Motivation, Cost Benefit Analysis, Data Entry, Finance, Microsoft Office",,FULL_TIME
394,,2 Year Degree,"Job Description
Operating Room Nurse - Registered Nurse - RN

We have an exceptional opportunity for a Registered Nurse in the Boston area. This individual will have the opportunity to work in a great hospital as a staff level RN in an Operating Room within the Boston, MA area.

Job Information (RN – OR):
· Top pay in the area 
· Excellent Benefits Package
· Relocation assistance depending on experience
· Sign-on bonus depending on experience
· Interviewing immediately for PERMANENT positions
· Full-Time
Great Culture
Room for Career Growth
Great Management

Job Requirements (RN – OR):
Must be a Registered Nurse
1+ years of experience required
MA RN license highly preferred

Jessica Genest
Permanent Placement Specialist
 (phone)  [ Phone number blocked ]  Ext. 1306

OUR SERVICES ARE ALWAYS FREE!
How We Help You:
· Resume preparation services and interview tips.
· Communication and feedback from, sometimes hard to contact, hiring managers.
· Help finding the perfect position for you, based on your experience and desired location.
· Referral bonuses.
· Relocation assistance – includes information on the job market, cost of living and more.
Licensing Assistance- specialists to help you through the process.
Positions nationwide from staff to CNO.

PLEASE CONTACT ME TODAY TO LEARN MORE!

Jessica Genest
Permanent Placement Specialist
 (phone)  [ Phone number blocked ]  Ext. 1306

CoreMedical Group is a nationally recognized leader in the medical recruitment and employment industry. We provide staffing solutions to hospitals and healthcare providers in all 50 states, giving you access to top jobs wherever you want to be!

“Job Seekers get 40% more interviews when using a recruiting agency.” 


Job Requirements
Keywords: PCU, progressive care, tele, critical care, intensive care, telemetry, step-down, step down, medical surgical, med/surg, medical/surgical, med surg, intensive care, critical care, coronary care, ccu, icu, ortho, RNFA, First Assistant, Surgical Assistant, Charge Nurse, OR, Operating Room",Operating Room Nurse - Registered Nurse - RN,"Registered Nurse Certified, Hospitals, Operating Theater",At least 1 year experience.,FULL_TIME
395,,High School,"Job Description
Job Title: Associates Environmental Services (Housekeeping)Duration: 2+months possible extension Address: Phoenix Arizona 85054 Duties: Receives direction from the Housekeeping Supervisor. Interacts with staff in facilities and other individuals as needed. Position Overview: Responsible for cleaning all areas of the facility. Including patient rooms, offices, rest rooms, corridors, floors and other areas as assigned. Must collaborate with others, organize well, accomplish tasks, solve problems and communicate effectively. Skills: Additional Experience and/or Qualifications: The ability to read and write English is preferred. Conversational English is preferred. Previous housekeeping experience is preferred. Education: Minimum Education: HS diploma or GED preferred. Must be able to lift 25 pounds.",Associate-Environmental Services,"Complex Problem Solving, Communication, English Language, Housekeeping",,FULL_TIME
396,,High School,"Job Description
Warehouse Team MembersShifts: Morning, Day, WeekendLocation: MemphisJob opportunities vary by location. We update postings daily with open positions.Hourly pay rate: New! Up to $16.80**Effective hourly pay starting date as of 5/16, on select rolesImmediate openings available now. Become part of the dedicated team that gets orders ready for people relying on Amazon’s service. From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of jobs.Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our COVID-19 FAQ page.Candidates must be 18 years or older with ability to read and speak English for safety.Reasons you’ll love working here:Health and safety are a top priority with all of our roles and sites. We continue to consult with medical and health experts, and take all recommended precautions in our buildings and stores to keep people healthy. Earn more: You can expect a competitive wage and reliable paycheck when you work for Amazon.Career development: Many of our entry-level employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.Benefits: Our range of benefits can include health care starting on day one, employee discounts, 401(k) savings plans, paid time off and more! Find out which benefits you'll get after you choose your role with us.Stay active: You’ll be on the move for your whole shift in our fast-paced environments.Check out what some of our employees have to say about their jobs: [ Link Removed ] Amazon is hiring for the following types of roles in your area:Fulfillment Centers – Work inside an Amazon warehouse, selecting, packing and shipping customer orders. If you like a fast-paced, physical position that gets you up and moving, then come help bring orders to life. Work a set, full-time schedule. Shift options include overnight and days, and usually at least one weekend day. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit  [ Link Removed ]  Basic qualifications:High school, GED, or equivalent diploma",Amazon Warehouse Attendant (Overnight Shifts Available),"Hardworking And Dedicated, Health Care Benefits, Scheduling, English Language",,FULL_TIME
397,,High School,"Job Description
ResponsibilitiesThe Payroll Coordinator is responsible for timely, accurate processing and reconciliation of payroll checks. Effectively interacts with the Human Resources department, managers and staff regarding payroll issues. Input and retrieve payroll data from the computerized system. The Payroll Coordinator works with electronic time and attendance system to ensure accurate time keeping. Has the ability to communicate with staff at all levels.QualificationsEducation and Work ExperienceHigh School Diploma or Equivalent.A minimum of 2 years? experience in Payroll preferred.10 Key by touch, direct data entry experience preferred.General accounting background preferred.Hands-on experience with Excel or equivalent.Experience with Timekeeping System preferred.Knowledge of Wage and Hour Guidelines and Healthcare pay practices preferredWe are an Equal Opportunity/ Affirmative Action Employer and do not discriminate against applicants due to veteran status, disability, race, gender, gender identity, sexual orientation or other protected characteristics. If you need special accommodation for the application process, please contact Human Resources. EEO is the Law: [ Link Removed ]",Coordinator - Payroll - GGH - Full Time,"Microsoft Excel, Generally Accepted Accounting Principles, Human Resources, Data Entry, Reconciliation, Health Care",At least 2 years experience.,FULL_TIME
398,,Associate's Degree,"Job Description
Job ID: 1211712Employment Status: PRNMore Information:Barnes-Jewish Hospital at Washington University Medical Center is the largest hospital in Missouri and is ranked as one of the nation's top hospitals by U.S. News & World Report. Barnes-Jewish Hospital's staff is composed of full-time academic faculty and community physicians of Washington University School of Medicine, supported by a house staff of residents, interns, fellows and other medical professionals. Recognizing its excellence in nursing care, Barnes-Jewish Hospital was the first adult hospital in Missouri to be certified as a Magnet Hospital by the American Nurses Credentialing Center. The CM Services reports through the division of Patient Care Services lead by the Chief Nursing Executive, Vice President of Patient Care Services. The CM Service is comprised of three departments: Case Management, Utilization Management, and Social Work. Through the Triad Model of Care Delivery, the objectives of the CM Services are for all patients to have access to healthcare through the BJH continuum and appropriate, safe discharge plans. The SW department is open 24 hours/day while the CM department is open 20 hours/day. Both departments provide coverage throughout the hospital including the Emergency Department, Outpatient Clinics, Registration sites, and Health Information Management. The Service employs registered nurses, social workers, a license practical nurse, a customer service representative, and administrative assistants.OverviewRole PurposeCoordinates, negotiates, procures and manages the care of patients to facilitate achievement of quality cost-effective outcomes. Works collaboratively with physicians and interdisciplinary staff, internal and external to the organization, to identify and resolve issues. Performs and provides consultation regarding Utilization Management and Performance Improvement programs in order to obtain optimum value for the patient and the reimbursement source.ResponsibilitiesAssesses, coordinates, and evaluates each patient's plan of care.Establishes, continuously evaluates, and documents an individualized discharge plan.Ensures clinical documentation and cost-effective use of hospital resources.BJC has determined this is a safety-sensitive position. The ability to work in a constant state of alertness and in a safe manner is an essential function of this job.Minimum RequirementsDegreeNursing Diploma/Associate's - NursingExperienceSupervisor ExperienceNo ExperienceLicenses & CertificationsRNPreferred Requirements and Additional Job InformationDegreeBachelor's Degree - NursingExperience2-5 yearsBenefits StatementNote: not all benefits apply to all openings-  Comprehensive medical, dental, life insurance, and disability plan options-  Pension Plan*/403(b) Plan-  401(k) plan-  Tuition Assistance-  Health Care and Dependent Care Reimbursement Accounts-  On-Site Fitness Center (depending on location)-  Paid Time Off Program for vacation, holiday and sick time*Pension does not apply to Memorial Hospital, Memorial Hospital East, Alton Memorial or Parkland Health CenterLegal StatementThe above information on this description has been designed to indicate the general nature and level of work performed by employees in this position. It is not designed to contain or be interpreted as an exhaustive list of all responsibilities, duties and qualifications required of employees assigned to this job.Equal Opportunity Employer","PRN Registered Nurse Case Manager, RN","Utilization Management, Diploma In Nursing, Clinical Works, Perseverance, Documentation, Nursing, Receptive, Consulting, Hospitals, Procurement, Performance Improvement",At least 2 years experience.,FULL_TIME
399,,4 Year Degree,"Job Description
About the roleThis position will be responsible for servicing and troubleshooting water treatment equipment (Reverse Osmosis and Lab Equipment), exchanging service deionization tanks and completing necessary paperwork. Responsibilities include electrical and mechanical testing, troubleshooting and repairs, system cleaning, disinfection, calibrations and other required services. #CBWhat you will do Respond to non-routine “call outs” for tank exchanges and basic service in a timely and proactive manner. Maintenance of accurate records and communication of all data on customer sites. Prepare and submit to customer and management “service” reports detailing maintenance performed and equipment / application status. Complete equipment troubleshooting, maintenance and service activity runs to ensure system performance. Sample collection at customer sites and analytical chemistry tests specific to each site. Provide basic technical assistance to maximize equipment systems and application benefits to customer. Maintain and manage basic routine spare parts inventory. Perform other duties as assigned.What we are looking forEDUCATION & EXPERIENCE 4-6 years of industry experience Bachelor’s, Associates or Technical Degree preferredCERTIFICATIONS Knowledge of water chemistry and water treatment equipment Intermediate level mechanical and electrical skills Ability to complete plumbing tasks including working with Sched 80 PVC per MCP workmanship standards Ability to complete basic electrical tasks including work with high and low voltage electrical per MCP Workmanship StandardsOTHER SPECIFICATIONS Excellent verbal and written communications Ability to read, understand and follow Quality System documentation Basic computer skills required including basic proficiency with Microsoft Office Suite Knowledge of ISO 14971 – Risk Management for Medical Devices – and how this standard applies to the service and installation personnel Clean driving record – depending on territory, travel miles may be in excess of 40,000/year Ability to work a variety of schedules including nights, weekends and holidays, and the ability to take assignments on short notice Must demonstrate ability to distinguish between colours Must be able to lift at least 50 lbs unassisted Must be able to pass a DOT physicalWho we areAt Cantel, preventing infection is our business.  As a leading provider of infection prevention products and services in the healthcare market, we are dedicated to delivering high-quality, innovative solutions that improve outcomes and help save lives.  We accomplish this mission by delivering our products through the following operating units: Medical: Endoscopy procedure disposables include single-use valves and irrigation tubing. The medical device reprocessing systems, disinfectants, detergents we manufacture and distribute are used to disinfect high-level endoscopes. Life Sciences: Water purification systems for dialysis facilities.  We work with leading dialysis caregivers, delivering hemodialysis dialyzers and reprocessing systems, as well as sterilants and filtration products. Dental: Single-use, infection prevention products used primarily in the dental market (face masks, sterilization pouches, towels and bibs, tray covers, saliva ejectors, germicidal wipes, plastic cups and disinfectants).  Cantel employees are inspired to improve the lives of patients, caregivers and healthcare providers.   If you are looking for a company driven by an entrepreneurial spirit and have the passion to shape the future of infection prevention, we want to meet you.  Join us and see why people love working here.","Technician, Field Service II","Installations (Manual/Mechanical), Scheduling, Water Treatment, Testing, Plumbing, Electricity, Inventory Control Systems, Reverse Osmosis, Hardworking And Dedicated, Complex Problem Solving, Maintenance, Calibration, Quality Management Systems, Management",4 to 6 years experience.,FULL_TIME
400,,High School,"Job Description
 Description Penske offers full-service truck leasing and contract maintenance, including preventive maintenance, roadside assistance, collision repair, and fleet tracking! We’re hiring for the following positions at our facilities in Pittsburgh and the surrounding areas. (Zelienople, Saxonburg, Duncansville, West Mifflin, and Mount Pleasant)  Auto/Diesel Technicians/Mechanics ALL LEVELS Part Time Truck Drivers (Commercial Driver’s License Required) Shop Helpers/Vehicle Prep Associates/Fuelers   THIS WILL BE A DRIVE-UP EVENT FOLLOWING SOCIAL DISTANCING PROTOCOL. PLEASE WEAR A MASK! When: Wednesday, April 21st, 2021 – 9am - 4pm! Where: Penske Pittsburgh - 4890 Grand Ave, Pittsburgh, PA 15225.  Candidates of all skill levels may interview. Bring a resume to the event OR submit application online  Or candidates can schedule an interview with Penske managers for April 21st by contacting the Recruiter: Rob Thomas, Mid-Atlantic Area Recruiter T [ Phone number blocked ]  - E  [ Link Removed ]     Why Penske is for You: • Competitive starting salary • Career stability • Opportunity for growth • Excellent benefits, including lots of time off • Strong, well-rounded training on a variety of OEM equipment (Penske’s Technician Certification Program is certified as a Continuing Automotive Service Education provider) • Advanced vehicle maintenance technology • Location and schedule flexibility     Qualifications Qualifications: • High school diploma required; vocational or technical certification in vehicle repair preferred • Basic mechanical aptitude and 1-2 years of automotive or diesel repair experience preferred • Valid driver’s license required and must also have or be able to get a CDL license • The ability to solve problems and comfort using tools • Excellent customer service skills and communication skills • The ability to work well as part of a team and outside • Basic computer skills • Regular, predictable, full attendance is an essential function of the job • Willingness to work the required schedule, work at the specific location required, complete Penske employment application, submit to a background screening (to include criminal checks, past employment and education), the ability to pass a drug screen and physical as required by the Department of Transportation, and potential travel within a near geography for training are required.   This position is regulated by the Department of Transportation or designated as safety sensitive by the company, and the ability to work in a constant state of alertness and in a safe manner is required. Associates must have the ability to accept responsibility for their own safety, as well as the safety of others.  Physical Requirements: -The physical and mental demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. -The associate will be required to remember and understand certain instructions, guidelines or other information. The associate must be able to see and verbally communicate. Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus. -While performing the duties of this job, the associate will be required to move frequently, stand, walk, and sit. The associate is frequently required to use hands to touch, handle, and feel, and to reach with hands and arms. The associate must be able to regularly lift and/or move up to 50lbs/23kg and occasionally lift and/or move up to 100lbs/45kg.  Penske is an Equal Opportunity Employer.  About Penske When you join Penske, you’re joining a team that cares about doing its best. At each location, there’s a strong sense of teamwork. We’re all working together to move our customers forward. That’s true for the 9,000+ vehicle repair associates who are working at hundreds of locations across the United States.  Penske Truck Leasing Co., L.P., headquartered in Reading, Pennsylvania, is a partnership of Penske Corporation, Penske Automotive Group and Mitsui & Co., Ltd. A leading global transportation services provider, Penske operates a premier fleet of vehicles and serves its customers from locations in North America, South America, Europe, Australia, and Asia. Penske’s product lines include full-service truck leasing, contract maintenance, commercial and consumer truck rentals, used truck sales, transportation and warehousing management and supply chain management solutions. Visit  [ Link Removed ]  to learn more.  Keywords: Automotive, Diesel, Diesel Repair, Diesel Tech, Diesel Mechanic, Gas Mechanic, Mechanic, Hydraulics Auto Repair, Truck Repair, Trailer Repair, Equipment Installer, Electronic Diagnostic, Car Carrier Repair, Mechanical Repair, Installer, Truck Equipment, Auto Mechanic, ASE Certified, ASE, Automotive, Repair, Light And Heavy Duty Trucks, Truck Mechanic Service Technician, Heavy Truck & Equipment Technician, Heavy Truck Mechanic, Equipment Mechanic, Shop Mechanic, Truck Mechanic, Fleet Mechanic, Fleet Technician, Trailer Mechanic, Universal Technical Institute, UTI, Wyotech, Lincoln College of Technology, Lincoln Tech, Detroit Diesel, Cummins, Eaton, Meritor, Mack, International, Peterbilt, Kenworth, Volvo, Freightliner, Hino, Isuzu","Penske DRIVE-UP Hiring Event! - April 21st - Pittsburgh, PA","Computer Literacy, Communication, Scheduling, Customer Service, Background Checks, Training",1 to 2 years experience.,FULL_TIME
401,,High School,"Job Description
Seasonal Delivery Warehouse Team MemberLocation: Kent, WAJob opportunities vary by location. We update postings daily with open positions.Hourly pay rate: New! Up to $20.80**Effective hourly pay starting date as of 5/16, on select rolesImmediate openings available now.Amazon remains open as an essential business to serve our communities delivering critical supplies directly to the doorsteps of people who need them. Find out what Amazon is doing to provide a safe environment for employees at this time on our  [ Link Removed ] .Join Amazon and become part of the dedicated team that gets orders ready for people relying on Amazon’s service. Earn a competitive wage while learning new skills. Stay active in this fast-paced warehouse environment.Depending on your location, you’ll have the option to choose from part-time and full-time roles with early morning, day, and night shifts. Choose the role and shift times that work best for you.Candidates must be 18 years or older with the ability to read and speak English for safety purposes.What this job will be like:Be on the last stop before we deliver customer smiles! Delivery Station Team Members receive trucks full of orders then prepare them for delivery. As part of this team, you'll load conveyor belts and transport and stage deliveries to be picked up by drivers. Plus, you'll get to use the latest Amazon technology, like smartphones and handheld devices, to scan and sort the orders. These duties can rotate throughout the day, making each day a little different.Reasons you’ll love working here:Health and safety is the top priority: We continue to consult with medical and health experts, and take all recommended precautions in our buildings to keep people healthy.Earn more: You can expect a competitive wage and reliable pay check when you work for Amazon.Career development: Many of our entry-level warehouse employees become leaders in operations, HR, and other areas. See where your Amazon journey can take you.Teamwork environment: Work is more fun when you are part of a great team. Variety every day: Your days will keep you busy with different types of work.Amazon is hiring for the following types of roles in your area:Delivery Stations – Amazon’s delivery stations are the final stop before an order heads out for delivery to the customer’s door. In this active job you sort packages into delivery routes. To ensure we meet customer-promised delivery times, shift times will vary. Depending on your location, you’ll work a set schedule with hours that range between full-time and part-time. Basic qualifications:High school or equivalent diplomaAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit  [ Link Removed ] .",Amazon Warehouse Assistant (Immediate Openings!) - Earn up to $20.80/hr,"Smartphone, Mobile Devices, Scheduling",,FULL_TIME
